listing_id,maximum,minimum,average
3353,$36.00,$32.00,35.2048192771084
5506,$275.00,$145.00,147.267441860465
6695,$325.00,$195.00,197.407407407407
6976,$65.00,$65.00,65.0
8792,$154.00,$154.00,154.0
9273,$225.00,$225.00,225.0
9765,$490.00,$192.00,236.85635359116
9824,$490.00,$209.00,222.321981424149
9855,$309.00,$259.00,266.554945054945
9857,$702.00,$301.00,363.394812680115
9858,$699.00,$449.00,486.774725274725
9860,$533.00,$240.00,269.759206798867
9870,$578.00,$240.00,288.776243093923
9903,$299.00,$249.00,256.554945054945
10730,$150.00,$150.00,150.0
10758,$135.00,$115.00,116.395348837209
10807,$80.00,$145.00,80.8024691358025
10809,$165.00,$100.00,110.116279069767
10810,$275.00,$250.00,251.744186046512
10811,$175.00,$150.00,165.520547945205
12356,$200.00,$200.00,200.0
12441,$881.00,$399.00,418.354098360656
13059,$688.00,$375.00,400.837837837838
13589,$881.00,$377.00,451.097402597403
13592,$735.00,$299.00,377.994350282486
18711,$98.00,$100.00,169.890207715134
20000,$75.00,$75.00,75.0
21337,$329.00,$329.00,329.0
21891,$399.00,$349.00,356.554945054945
22208,$456.00,$180.00,233.988795518207
22212,$818.00,$285.00,331.201149425287
22354,$135.00,$135.00,135.0
23619,$275.00,$175.00,178.015873015873
23668,$249.00,$199.00,241.445054945055
24240,$250.00,$250.00,250.0
25142,$399.00,$349.00,356.554945054945
25418,$299.00,$249.00,256.554945054945
27141,$578.00,$240.00,288.194986072423
27611,$185.00,$185.00,185.0
28150,$533.00,$240.00,270.51404494382
29155,$881.00,$377.00,470.832797427653
29765,$336.00,$226.00,280.252788104089
31796,$64.00,$60.00,60.0283018867925
36885,$155.00,$155.00,155.0
38579,$329.00,$299.00,303.532967032967
39116,$99.00,$105.00,100.270916334661
40601,$95.00,$95.00,95.0
44205,$326.00,$235.00,240.704545454545
45987,$150.00,$150.00,150.0
47521,$55.00,$55.00,55.0
47722,$699.00,$229.00,458.358333333333
47725,$549.00,$189.00,282.511173184358
48612,$375.00,$375.00,375.0
50032,$725.00,$725.00,725.0
52423,$399.00,$349.00,356.554945054945
54215,$399.00,$349.00,356.554945054945
54487,$309.00,$299.00,307.489010989011
54944,$518.00,$185.00,208.141104294479
56927,$289.00,$289.00,289.0
56937,$349.00,$299.00,302.296703296703
57156,$95.00,$95.00,95.0
57800,$70.00,$70.00,70.0
59776,$270.00,$270.00,270.0
60029,$75.00,$75.00,75.0
60356,$175.00,$175.00,175.0
66288,$89.00,$74.00,75.3060498220641
67774,$110.00,$110.00,110.0
67946,$299.00,$249.00,256.554945054945
68902,$735.00,$299.00,380.631868131868
69369,$85.00,$85.00,85.0
70481,$175.00,$175.00,175.0
72811,$62.00,$62.00,62.0
76073,$425.00,$400.00,401.724137931034
77681,$160.00,$160.00,160.0
77691,$65.00,$65.00,65.0
82637,$175.00,$175.00,175.0
91588,$95.00,$100.00,81.159217877095
93505,$199.00,$199.00,199.0
95453,$175.00,$149.00,173.32
115936,$525.00,$525.00,525.0
118905,$320.00,$320.00,320.0
130552,$329.00,$269.00,272.956043956044
160572,$450.00,$450.00,450.0
163941,$245.00,$225.00,230.448916408669
164418,$80.00,$75.00,76.4375
169430,$300.00,$150.00,241.666666666667
169938,$140.00,$140.00,140.0
176006,$75.00,$40.00,51.5700636942675
177129,$69.00,$120.00,70.1724137931034
179244,$70.00,$70.00,70.0
179245,$70.00,$70.00,70.0
180914,$249.00,$249.00,249.0
182049,$300.00,$300.00,300.0
182613,$299.00,$169.00,231.894736842105
189965,$125.00,$125.00,125.0
195515,$199.00,$199.00,199.0
196806,$99.00,$124.00,77.841225626741
197146,$702.00,$301.00,386.934285714286
197727,$85.00,$80.00,84.0032679738562
197972,$158.00,$145.00,147.900621118012
200265,$79.00,$120.00,79.7321428571429
205894,$65.00,$65.00,65.0
210097,$100.00,$100.00,100.0
213086,$70.00,$60.00,69.4594594594595
217498,$99.00,$110.00,101.940199335548
218259,$299.00,$269.00,273.532967032967
220676,$69.00,$159.00,128.574297188755
225224,$98.00,$98.00,98.0
225834,$70.00,$70.00,70.0
225979,$60.00,$60.00,60.0
228883,$399.00,$349.00,356.554945054945
232990,$79.00,$120.00,79.8453608247423
238846,$300.00,$300.00,300.0
250345,$667.00,$277.00,299.488817891374
250983,$350.00,$350.00,350.0
257588,$400.00,$200.00,234.769230769231
276450,$99.00,"$1,126.00",260.740853658537
295285,$80.00,$80.00,80.0
311240,$250.00,$175.00,198.03125
315982,$165.00,$165.00,165.0
321328,$100.00,$100.00,100.0
322593,$309.00,$195.00,224.369863013699
332225,$338.00,$133.00,217.9375
336946,$95.00,$100.00,130.25078369906
336960,$80.00,$55.00,67.9478527607362
349347,$99.00,"$1,078.00",245.100286532951
369880,$250.00,$140.00,140.887096774194
369940,$199.00,$199.00,199.0
377474,$395.00,$395.00,395.0
395975,$88.00,$55.00,85.1141975308642
400067,$56.00,$56.00,56.0
414419,$325.00,$150.00,207.076923076923
442735,$375.00,$225.00,251.854599406528
447826,$71.00,"$7,163.00",70.7830508474576
453660,$487.00,$110.00,171.493150684931
466361,$80.00,$80.00,80.0
472070,$984.00,"$1,007.00",380.04854368932
475254,$500.00,$500.00,500.0
475259,$600.00,$500.00,506.896551724138
496022,$95.00,$105.00,97.8571428571429
497810,$599.00,$299.00,357.576271186441
508017,$358.00,$104.00,229.815436241611
519272,,,
526970,$130.00,$130.00,130.0
530983,$280.00,$178.00,225.823529411765
531552,$99.00,$100.00,167.459627329193
533114,$459.00,$105.00,201.837060702875
533152,$98.00,$100.00,170.970588235294
536865,$250.00,$109.00,112.685618729097
543078,$699.00,$249.00,383.003039513678
543188,$399.00,$349.00,356.554945054945
554720,$240.00,$240.00,240.0
561769,$198.00,$127.00,150.868421052632
568234,$125.00,$100.00,124.42987804878
570493,$125.00,$125.00,125.0
579605,$99.00,$100.00,163.352760736196
583255,$147.00,$132.00,143.822580645161
585148,$225.00,$225.00,225.0
586994,$275.00,$175.00,181.526845637584
594693,$73.00,$70.00,70.030487804878
601763,$99.00,$100.00,174.323333333333
611081,$325.00,$175.00,190.789473684211
619142,$175.00,$175.00,175.0
625012,$257.00,$250.00,250.552631578947
627048,$365.00,$299.00,308.972527472527
629814,$240.00,$225.00,229.090909090909
639101,$399.00,$149.00,231.631016042781
639111,$399.00,$149.00,233.770053475936
646087,$230.00,$110.00,147.447552447552
650956,$300.00,$290.00,292.339743589744
658029,$99.00,"$1,126.00",276.260563380282
665035,$249.00,$249.00,249.0
667325,$93.00,$58.00,80.9834710743802
693353,$578.00,$199.00,265.969529085873
697078,$175.00,$175.00,175.0
705900,$499.00,$179.00,235.164383561644
705919,$279.00,$189.00,223.031746031746
708802,$200.00,$150.00,160.032894736842
713627,,,
716245,$135.00,$125.00,127.822580645161
716512,$399.00,$349.00,356.554945054945
716643,$349.00,$329.00,347.681318681319
721979,$399.00,$349.00,356.554945054945
728238,$65.00,$60.00,60.56
732932,$80.00,$80.00,80.0
732999,$205.00,$195.00,204.554794520548
735970,,,
737519,$120.00,$120.00,120.0
743211,$625.00,$550.00,569.98502994012
749247,$85.00,$80.00,84.7994269340974
750438,$65.00,$65.00,65.0
753446,$69.00,$58.00,59.3631123919308
754845,$490.00,$209.00,222.357142857143
766700,$250.00,$125.00,167.358803986711
771309,$58.00,$58.00,58.0
777903,$85.00,$85.00,85.0
789843,$499.00,$499.00,499.0
798957,$517.00,$239.00,308.887218045113
799701,$300.00,$300.00,300.0
801680,$375.00,$195.00,198.323076923077
801722,$450.00,$133.00,169.281065088757
815639,$250.00,$125.00,162.692307692308
820073,$976.00,"$1,000.00",492.510385756677
822063,$35.00,$35.00,35.0
824244,,,
826555,$84.00,$84.00,84.0
826706,$72.00,$72.00,72.0
831744,$295.00,$145.00,263.431884057971
839265,$56.00,$56.00,56.0
848152,$399.00,$299.00,377.915662650602
849408,$309.00,$229.00,252.92523364486
851927,$150.00,$150.00,150.0
879929,$90.00,$90.00,90.0
890705,$75.00,$75.00,75.0
891661,$145.00,$125.00,130.592417061611
891953,$175.00,$150.00,163.741721854305
894539,$95.00,$95.00,95.0
901914,,,
903598,$299.00,$299.00,299.0
915272,$225.00,$175.00,175.327868852459
916123,$250.00,$125.00,165.253968253968
932853,$135.00,$135.00,135.0
947751,,,
950046,$250.00,$250.00,250.0
951473,$349.00,$309.00,315.043956043956
951476,$359.00,$289.00,355.111111111111
951480,$399.00,$349.00,356.554945054945
957224,$300.00,$275.00,275.15625
962610,$91.00,$110.00,123.899390243902
965554,$399.00,$349.00,356.554945054945
971393,$175.00,$175.00,175.0
973695,$300.00,$250.00,264.246575342466
973840,$82.00,$82.00,82.0
979759,$310.00,$310.00,310.0
986399,,,
989163,$170.00,$170.00,170.0
990668,$300.00,$146.00,162.939597315436
994138,$175.00,$140.00,148.82252559727
994317,$399.00,$349.00,356.671232876712
1030500,$100.00,$100.00,100.0
1038465,$135.00,$135.00,135.0
1042420,$180.00,$112.00,131.654485049834
1044307,$490.00,$192.00,267.60773480663
1051482,$275.00,$275.00,275.0
1059604,$275.00,$275.00,275.0
1066742,$200.00,$200.00,200.0
1066767,$275.00,$275.00,275.0
1067184,$95.00,$73.00,94.0870786516854
1071144,$456.00,$180.00,268.173669467787
1071235,$153.00,$135.00,141.752475247525
1077105,$176.00,$176.00,176.0
1090413,$130.00,$120.00,122.836257309942
1092093,$115.00,$115.00,115.0
1094599,$530.00,$239.00,266.413698630137
1102623,$125.00,$122.00,124.769230769231
1106555,$500.00,$500.00,500.0
1109224,$550.00,$355.00,420.132930513595
1110423,$799.00,$200.00,277.249146757679
1112067,$73.00,$73.00,73.0
1112193,$65.00,$65.00,65.0
1113272,$210.00,$210.00,210.0
1115394,$99.00,$100.00,105.45390070922
1119740,$456.00,$180.00,204.165266106443
1128894,$55.00,$55.00,55.0
1131634,$349.00,$179.00,218.047923322684
1136972,$75.00,$100.00,85.7303370786517
1141522,$95.00,$103.00,95.2403560830861
1141888,$125.00,$125.00,125.0
1147871,$95.00,$84.00,94.8865671641791
1161210,$95.00,$102.00,62.2764705882353
1166808,$99.00,$100.00,136.373961218837
1167221,$99.00,$100.00,97.9747634069401
1171578,$99.00,$99.00,99.0
1173306,$75.00,$75.00,75.0
1174776,$185.00,$185.00,185.0
1175376,$972.00,"$1,019.00",335.383928571429
1178106,$77.00,$100.00,117.935754189944
1178162,$98.00,$101.00,95.0818713450292
1178371,$45.00,$45.00,45.0
1179399,$70.00,$65.00,68.5074626865672
1183032,$150.00,$150.00,150.0
1185034,$163.00,$144.00,162.754208754209
1187188,$200.00,$200.00,200.0
1197857,$99.00,"$1,126.00",256.127596439169
1200502,$275.00,$145.00,147.693726937269
1203014,$65.00,$65.00,65.0
1214214,$700.00,$450.00,521.428571428571
1220971,$225.00,$139.00,189.195804195804
1222327,$178.00,$178.00,178.0
1223050,$100.00,$100.00,100.0
1234740,$702.00,$301.00,398.190883190883
1240598,$99.00,$100.00,119.003300330033
1242798,,,
1248870,$349.00,$179.00,210.61935483871
1252289,$99.00,$109.00,101.72131147541
1262443,$39.00,$39.00,39.0
1264217,$220.00,$110.00,154.259259259259
1275498,$160.00,$160.00,160.0
1277618,$210.00,$210.00,210.0
1301500,$95.00,$69.00,76.6
1303261,$425.00,$425.00,425.0
1321422,$95.00,$102.00,54.9481481481481
1322461,,,
1327725,$200.00,$135.00,147.174061433447
1329627,$389.00,$240.00,270.118343195266
1332786,$47.00,$22.00,36.5628415300546
1340290,$150.00,$110.00,121.397260273973
1340649,$150.00,$100.00,114.366197183099
1341072,$495.00,$219.00,403.0
1342370,$972.00,"$1,019.00",333.261980830671
1352776,$65.00,$65.00,65.0
1358531,$349.00,$299.00,314.934065934066
1365335,$160.00,$160.00,160.0
1372816,$490.00,$209.00,222.789634146341
1373520,$97.00,$110.00,119.418181818182
1374434,$75.00,$75.00,75.0
1374466,$85.00,$85.00,85.0
1391215,$55.00,$50.00,50.6432748538012
1391492,$70.00,$55.00,58.1446540880503
1401625,$578.00,$240.00,272.016713091922
1403408,$90.00,$90.00,90.0
1421610,$600.00,$320.00,475.555555555556
1425973,$350.00,$350.00,350.0
1426711,$190.00,$126.00,163.152249134948
1426754,$99.00,$159.00,134.8
1428355,$80.00,$110.00,83.2
1436513,$75.00,$75.00,75.0
1445064,$49.00,$49.00,49.0
1454258,$98.00,$100.00,94.7944785276074
1458081,$350.00,$193.00,242.60625
1471308,$90.00,$60.00,73.4444444444444
1471373,$90.00,$75.00,79.1638795986622
1472481,$66.00,$100.00,59.5162454873646
1472520,$80.00,$110.00,59.9638989169675
1489289,$185.00,$175.00,177.822580645161
1494726,$80.00,$75.00,76.4225352112676
1497879,$112.00,$104.00,107.984126984127
1498719,$250.00,$250.00,250.0
1510876,$62.00,$57.00,59.9824561403509
1523772,$150.00,$120.00,128.547945205479
1525494,$75.00,$56.00,64.1086261980831
1529321,$75.00,$57.00,66.81640625
1529393,$499.00,$129.00,393.575342465753
1541166,$159.00,$143.00,143.191235059761
1544702,$80.00,$43.00,62.7657992565056
1545185,$200.00,$140.00,158.234421364985
1550047,$989.00,"$1,002.00",352.294498381877
1551205,$435.00,$435.00,435.0
1551467,$150.00,$150.00,150.0
1584362,$62.00,$40.00,52.0581395348837
1587540,$399.00,$225.00,285.285714285714
1589392,$130.00,$130.00,130.0
1591827,$60.00,$60.00,60.0
1596470,$600.00,"$1,000.00",442.520634920635
1602491,$80.00,$70.00,72.8529411764706
1612842,$290.00,$290.00,290.0
1615033,$245.00,$135.00,141.793650793651
1628130,,,
1631942,$130.00,$120.00,122.5
1638584,$65.00,$65.00,65.0
1644031,$119.00,$108.00,112.625
1648950,$195.00,$157.00,165.866666666667
1658983,$155.00,$155.00,155.0
1668313,$57.00,$57.00,57.0
1692573,$135.00,$135.00,135.0
1695275,$99.00,$109.00,108.730088495575
1701741,$325.00,$295.00,303.547945205479
1704090,$125.00,$120.00,123.875
1717816,$99.00,$99.00,99.0
1721016,$98.00,$100.00,84.1724137931034
1724900,$150.00,$120.00,130.751633986928
1731639,$500.00,$500.00,500.0
1732804,$80.00,$80.00,80.0
1745339,$195.00,$195.00,195.0
1754939,$200.00,$150.00,173.076923076923
1755376,$299.00,$249.00,256.554945054945
1757417,$69.00,$65.00,66.2272727272727
1758953,$275.00,$200.00,208.741830065359
1775935,$399.00,$299.00,314.277777777778
1776190,$349.00,$289.00,345.043956043956
1803138,$85.00,$85.00,85.0
1810172,$68.00,$67.00,67.2096774193548
1810397,$800.00,$800.00,800.0
1811776,$289.00,$219.00,265.19512195122
1815326,$99.00,$99.00,99.0
1819994,$310.00,$310.00,310.0
1821633,$97.00,$100.00,99.5871559633027
1827762,$195.00,$165.00,179.285714285714
1835533,,,
1839549,$75.00,$67.00,70.7847222222222
1840255,$475.00,"$1,099.00",315.019607843137
1850260,$65.00,$65.00,65.0
1861070,$75.00,$75.00,75.0
1863443,$389.00,$189.00,254.067567567568
1864705,$499.00,$329.00,416.951807228916
1867754,$449.00,$229.00,290.216216216216
1867881,$469.00,$269.00,347.315217391304
1868124,$499.00,$309.00,394.180722891566
1868513,$399.00,$319.00,343.0
1873046,$150.00,$120.00,139.899350649351
1881180,$90.00,$90.00,90.0
1881298,$90.00,$90.00,90.0
1884045,$65.00,$65.00,65.0
1885386,$90.00,$115.00,86.0879478827362
1885825,$83.00,$115.00,79.4496644295302
1886037,,,
1887507,$110.00,$100.00,102.666666666667
1887581,$600.00,$250.00,333.805970149254
1899770,,,
1902160,$70.00,$70.00,70.0
1912940,$150.00,$120.00,149.880952380952
1929406,$345.00,$275.00,283.809523809524
1936861,$60.00,$52.00,59.7098591549296
1937433,,,
1944976,,,
1948096,$385.00,$385.00,385.0
1949996,$120.00,$120.00,120.0
1956275,$450.00,$168.00,371.695792880259
1961034,,,
1964878,$539.00,$299.00,393.391891891892
1966195,$599.00,$469.00,519.0
2000797,$90.00,$50.00,60.3951367781155
2014651,$100.00,$100.00,100.0
2014882,$76.00,$70.00,70.9417475728155
2016500,,,
2021274,$335.00,$150.00,244.886297376093
2021483,$500.00,$500.00,500.0
2021489,$200.00,$200.00,200.0
2022303,$400.00,$250.00,252.090032154341
2043261,$145.00,$135.00,137.822580645161
2043529,$215.00,$165.00,200.281690140845
2043541,$245.00,$195.00,209.857142857143
2061478,$110.00,$110.00,110.0
2077794,$90.00,$119.00,109.465753424658
2108738,,,
2114274,$93.00,$54.00,84.1450617283951
2126053,$275.00,$150.00,175.487804878049
2135075,$199.00,$125.00,195.845679012346
2135451,$110.00,$110.00,110.0
2167993,$240.00,$149.00,160.507598784195
2174476,$300.00,$109.00,166.039877300613
2174711,$300.00,$139.00,154.204402515723
2183058,$223.00,$163.00,191.896321070234
